118.184.169.32,5.143.73.85,80.0,tcp
118.184.169.32,5.219.212.155,80.0,tcp
118.184.169.32,5.173.153.51,80.0,tcp
118.184.169.32,5.123.193.153,80.0,tcp
118.184.169.32,5.23.167.223,80.0,tcp
118.184.169.32,5.194.172.113,80.0,tcp
118.184.169.32,5.194.172.113,80.0,tcp
118.184.169.32,5.187.85.44,80.0,tcp
118.184.176.90,5.141.95.250,53.0,udp
118.184.169.32,5.204.26.159,,icmp
118.184.176.79,3.238.216.130,53.0,udp
118.184.169.32,5.70.0.16,80.0,tcp
118.184.169.32,5.218.53.147,80.0,tcp
118.184.169.32,5.163.78.56,80.0,tcp
118.184.169.32,5.202.73.58,80.0,tcp
118.184.169.32,5.136.29.11,80.0,tcp
118.184.169.32,5.15.129.45,80.0,tcp
118.184.169.32,5.134.48.236,80.0,tcp
118.184.169.32,5.90.145.103,80.0,tcp
118.184.169.32,5.134.184.138,80.0,tcp
118.184.169.32,5.31.248.181,80.0,tcp
118.184.169.32,5.31.248.181,80.0,tcp
118.184.169.32,5.121.166.103,80.0,tcp
118.184.169.32,5.212.190.113,80.0,tcp
118.184.176.79,3.251.104.52,53.0,udp
118.184.169.32,5.43.187.202,80.0,tcp
118.184.169.32,5.78.75.253,443.0,tcp
118.184.169.32,5.166.47.152,80.0,tcp
118.184.169.32,5.201.154.244,80.0,tcp
118.184.169.32,5.27.3.222,80.0,tcp
118.184.169.32,5.124.5.165,80.0,tcp
118.184.169.32,5.202.33.18,80.0,tcp
118.184.169.32,5.251.144.51,80.0,tcp
