id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label,srcip,dstip, port
1218,0,tcp,-,INT,1,0,581,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,581,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1219,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1220,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1221,0,tcp,-,INT,1,0,1095,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1095,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1222,0,tcp,-,INT,1,0,1095,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,1095,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1223,0,tcp,-,INT,1,0,60,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1224,0,tcp,-,INT,1,0,60,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1225,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1226,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1227,0,tcp,-,INT,1,0,583,0,0,105,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,583,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11692
1228,0,tcp,-,INT,1,0,66,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1229,0,tcp,-,INT,1,0,66,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1230,0,tcp,-,INT,1,0,66,0,0,106,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11711
1231,0,tcp,-,INT,1,0,66,0,0,106,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,66,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,104.208.16.90,111.205.62.207,11711
1232,0,tcp,-,INT,1,0,60,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,60,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
1233,0,tcp,-,INT,1,0,240,0,0,125,0,0,0,0,0,0,0,0,0,255,0,0,255,0,0,0,240,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Normal_0,0,111.205.62.207,104.208.16.90,443
