111.205.62.207,112.90.80.101,64843,tcp
111.205.62.207,112.90.80.101,65305,tcp
111.205.62.207,112.90.80.101,19692,tcp
111.205.62.207,112.90.80.101,19707,tcp
111.205.62.207,112.90.80.101,19706,tcp
111.205.62.207,112.90.80.101,19710,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,65214,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,49361,tcp
111.205.62.207,112.90.80.101,65397,tcp
111.205.62.207,112.90.80.101,49366,tcp
111.205.62.207,112.90.80.101,49407,tcp
111.205.62.207,112.90.80.101,49410,tcp
111.205.62.207,112.90.80.101,20598,tcp
111.205.62.207,112.90.80.101,49377,tcp
111.205.62.207,112.90.80.101,49604,tcp
111.205.62.207,112.90.80.101,49608,tcp
111.205.62.207,112.90.80.101,20672,tcp
111.205.62.207,112.90.80.101,49645,tcp
111.205.62.207,112.90.80.101,49773,tcp
111.205.62.207,112.90.80.101,49856,tcp
111.205.62.207,112.90.80.101,49776,tcp
111.205.62.207,112.90.80.101,20891,tcp
111.205.62.207,112.90.80.101,49811,tcp
111.205.62.207,112.90.80.101,20992,tcp
111.205.62.207,112.90.80.101,21087,tcp
111.205.62.207,112.90.80.101,59127,tcp
111.205.62.207,112.90.80.101,50583,tcp
111.205.62.207,112.90.80.101,50283,tcp
111.205.62.207,112.90.80.101,21368,tcp
111.205.62.207,112.90.80.101,50459,tcp
111.205.62.207,112.90.80.101,50791,tcp
111.205.62.207,112.90.80.101,50464,tcp
111.205.62.207,112.90.80.101,50521,tcp
111.205.62.207,112.90.80.101,50930,tcp
111.205.62.207,112.90.80.101,50528,tcp
111.205.62.207,112.90.80.101,21464,tcp
111.205.62.207,112.90.80.101,51076,tcp
111.205.62.207,112.90.80.101,50695,tcp
111.205.62.207,112.90.80.101,21673,tcp
111.205.62.207,112.90.80.101,50835,tcp
111.205.62.207,112.90.80.101,51296,tcp
111.205.62.207,112.90.80.101,50838,tcp
111.205.62.207,112.90.80.101,52538,tcp
111.205.62.207,112.90.80.101,60300,tcp
111.205.62.207,112.90.80.101,54380,tcp
111.205.62.207,112.90.80.101,64146,tcp
