36.42.254.223,118.184.169.48,8116,TCP
223.66.166.87,118.184.169.48,6680,TCP
1.49.5.146,118.184.169.48,38817,TCP
222.163.116.7,118.184.169.48,5051,TCP
120.243.11.221,118.184.169.48,12296,TCP
61.53.168.6,118.184.169.48,42734,TCP
183.202.121.147,118.184.169.48,9882,TCP
183.199.30.114,118.184.169.48,1850,TCP
118.184.176.3,118.184.176.76,28619,UDP
49.89.81.43,118.184.169.48,54911,TCP
223.98.108.141,118.184.169.48,12315,TCP
60.4.149.190,118.184.169.48,33686,TCP
118.184.176.3,118.184.176.78,28619,UDP
