City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
山东省-菏泽市,2.2667348836888666,0.056821946406423574,175980
山东省-威海市,2.2303427779827243,0.03450388221951598,106860
山东省-日照市,2.1395377334801426,0.0446425861470174,138260
山东省-德州市,2.339465665368059,0.14622981639130075,452880
山东省-东营市,2.422701326315343,0.05275354928901854,163380
山东省-济南市,2.550424076003216,0.12039872358237994,372880
山东省-莱芜市,2.064523371395038,0.04909844965655625,152060
山东省-临沂市,2.2777519592344033,0.36033004831330295,1148040
山东省-青岛市,2.4166340598169183,0.1701903813433377,542240
山东省-菏泽市,2.050523229139264,0.05504571606667631,175380
山东省-烟台市,2.275785181093383,0.1771205296541611,564320
山东省-滨州市,2.2163579976798697,0.1157159003276441,368680
山东省-德州市,2.3122654798660602,0.15550775734060582,495460
山东省-济宁市,2.2508744613229643,0.14993978492058735,477720
山东省-东营市,2.2010035772050305,0.0553721360958093,176420
山东省-济南市,2.2797308850526505,0.13093837284009593,417180
山东省-枣庄市,2.310547669714805,0.09212577591453319,293520
山东省-淄博市,2.338421261743946,0.13855274775044812,441440
山东省-潍坊市,2.2937880210734485,0.22924102007514566,730380
山东省-聊城市,2.483108015088962,0.1657774336417898,528180
山东省-日照市,2.342808081660219,0.04329459501788876,137940
山东省-泰安市,2.2941101285289944,0.14545778682826133,463440
山东省-威海市,2.442959294363039,0.039063689255665036,124460
山东省-莱芜市,2.2157053770763215,0.036063135910942574,114900
山东省-临沂市,2.3363572138254702,0.3386762690960451,1077320
山东省-青岛市,2.2902339519624317,0.19272091858188792,613040
山东省-菏泽市,2.3875733980011122,0.08091235486200951,257380
山东省-滨州市,2.235449413450074,0.13465692004659707,428340
山东省-聊城市,2.42962139607175,0.15563163570590732,495060
山东省-烟台市,2.2844112309324336,0.16440882487269304,522980
山东省-威海市,2.152738676481523,0.03253721628804874,103500
山东省-济宁市,2.3321326075782602,0.14757749578996715,469440
山东省-枣庄市,2.2602413200610023,0.08666531194482392,275680
山东省-潍坊市,2.301513452944843,0.22637728936254972,720100
山东省-泰安市,2.372852195676797,0.1466972619193726,466640
山东省-淄博市,2.2966525271072973,0.1312240079512783,417420
山东省-济南市,2.434399396252556,0.1679360477398612,534200
山东省-东营市,2.2981417119989485,0.05959812042404135,189580
山东省-德州市,2.2652368024960814,0.14301285443245537,454920
山东省-莱芜市,2.19215040801606,0.029682743593406394,94420
山东省-日照市,2.222043806636411,0.05881219732529621,187080
山东省-聊城市,2.359932116001773,0.1783220111050849,549340
山东省-青岛市,2.337230479075446,0.19305936739476132,594740
山东省-淄博市,2.2916713234056947,0.17925689185650048,552220
山东省-莱芜市,2.2432907057822673,0.029156593434773954,89820
山东省-临沂市,2.3503118448573894,0.3497752455782413,1077520
山东省-日照市,2.272306320136881,0.06950578697677354,214120
山东省-泰安市,2.2829933881903455,0.13296081797910722,409600
山东省-烟台市,2.309471159310082,0.1601113131348019,493240
山东省-潍坊市,2.2683265492630444,0.23744672640468106,731480
