Rank,scrIP,Location_src,dstIP,Location_dst
115,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
116,61.160.239.10,中国江苏省常州市,220.164.108.127,中国云南省玉溪市
117,61.160.239.10,中国江苏省常州市,118.184.169.48,中国江苏省常州市
118,61.160.239.10,中国江苏省常州市,58.216.66.79,中国江苏省常州市
119,61.160.239.10,中国江苏省常州市,58.216.66.79,中国江苏省常州市
120,61.160.239.10,中国江苏省常州市,183.131.210.226,中国浙江省金华市
121,61.160.239.10,中国江苏省常州市,110.42.104.254,中国浙江省宁波市
122,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
123,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
124,61.160.239.10,中国江苏省常州市,118.184.176.205,中国江苏省常州市
125,61.160.239.10,中国江苏省常州市,101.64.138.205,中国浙江省宁波市
126,61.160.239.10,中国江苏省常州市,101.227.5.67,中国上海上海市
127,61.160.239.10,中国江苏省常州市,58.216.66.174,中国江苏省常州市
128,36.143.129.209,中国北京北京市,118.184.169.48,中国江苏省常州市
129,42.185.108.197,中国黑龙江省齐齐哈尔市,118.184.169.48,中国江苏省常州市
130,123.234.100.11,中国山东省青岛市,118.184.169.48,中国江苏省常州市
131,112.102.36.21,中国黑龙江省哈尔滨市,118.184.169.48,中国江苏省常州市
132,123.12.90.128,中国河南省濮阳市,118.184.169.48,中国江苏省常州市
133,119.166.247.1,中国山东省青岛市,118.184.169.48,中国江苏省常州市
134,111.16.164.128,中国山东省东营市,118.184.169.48,中国江苏省常州市
135,42.177.99.47,中国辽宁省铁岭市,118.184.169.48,中国江苏省常州市
136,61.160.239.10,中国江苏省常州市,125.89.161.63,中国广东省梅州市
137,61.160.239.10,中国江苏省常州市,180.97.194.206,中国江苏省常州市
138,61.160.239.10,中国江苏省常州市,58.216.12.163,中国江苏省常州市
139,61.160.239.10,中国江苏省常州市,111.180.136.176,中国湖北省十堰市
140,61.160.239.10,中国江苏省常州市,118.184.178.15,中国江苏省常州市
141,61.160.239.10,中国江苏省常州市,175.31.236.28,中国吉林省通化市
142,61.160.239.10,中国江苏省常州市,168.197.25.134,巴西
143,61.160.239.10,中国江苏省常州市,58.216.95.84,中国江苏省常州市
144,61.160.239.10,中国江苏省常州市,36.62.165.240,中国安徽省滁州市
145,61.160.239.10,中国江苏省常州市,58.216.95.85,中国江苏省常州市
146,61.160.239.10,中国江苏省常州市,117.37.213.183,中国陕西省咸阳市
147,61.160.239.10,中国江苏省常州市,61.160.232.112,中国江苏省常州市
148,101.31.123.139,中国河北省唐山市,118.184.169.48,中国江苏省常州市
149,61.160.239.10,中国江苏省常州市,58.216.12.81,中国江苏省常州市
150,61.160.239.10,中国江苏省常州市,122.231.227.106,中国浙江省杭州市
151,61.160.239.10,中国江苏省常州市,58.216.12.152,中国江苏省常州市
152,36.143.46.193,中国河北省保定市,118.184.169.48,中国江苏省常州市
153,61.160.239.10,中国江苏省常州市,58.216.66.225,中国江苏省常州市
154,112.245.98.11,中国山东省泰安市,118.184.169.48,中国江苏省常州市
155,61.160.239.10,中国江苏省常州市,58.216.66.215,中国江苏省常州市
156,61.160.239.10,中国江苏省常州市,58.49.187.93,中国湖北省武汉市
157,124.238.212.141,中国河北省廊坊市,118.184.169.48,中国江苏省常州市
158,121.235.78.7,中国江苏省无锡市,118.184.169.48,中国江苏省常州市
159,61.160.239.10,中国江苏省常州市,220.167.106.41,中国四川省德阳市
160,120.225.106.189,中国江苏省常州市,118.184.169.48,中国江苏省常州市
