City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
江苏省-宿迁市,2.3830949037770575,0.03579948896433516,114060
江苏省-无锡市,2.320850149569599,0.018900975148450492,60220
江苏省-连云港市,2.204066979653603,0.06713581176110196,213900
江苏省-南通市,2.0324876891689536,0.020081109099931296,63980
江苏省-镇江市,1.75,0.006214535170031879,19800
江苏省-扬州市,2.1967916319816365,0.013163515405612981,41940
江苏省-常州市,7.538770990364024,87.95175488454349,279772140
江苏省-南通市,2.6213526136130225,0.015007987493637166,47740
江苏省-徐州市,2.3151040116751544,0.23999576481760548,763420
江苏省-连云港市,2.363097391850472,0.08105696471217862,257840
江苏省-盐城市,2.4787474052468412,0.10735709528858593,341500
江苏省-淮安市,2.797695778825575,0.06037775613799653,192060
江苏省-南京市,2.860976109280742,0.06409360054886354,203880
江苏省-扬州市,2.5232314287976205,0.013410991756987045,42660
江苏省-宿迁市,2.4740215887242707,0.034907560353864074,111040
江苏省-无锡市,2.4619829449426054,0.023049552639997424,73320
江苏省-泰州市,2.4056390622295662,0.012725666814881284,40480
江苏省-苏州市,2.5697738350294776,0.023464520036134858,74640
江苏省-镇江市,2.4056390622295662,0.011021785536801824,35060
江苏省-常州市,7.562035526580187,87.66481980108594,270060840
江苏省-连云港市,2.289748636114321,0.08238636621849955,253800
江苏省-盐城市,2.506837160720045,0.11306863310176424,348320
江苏省-南京市,3.1331328741724858,0.048191804289985984,148460
江苏省-南通市,2.6695767463163937,0.024793816594834497,76380
江苏省-徐州市,2.3613781586098064,0.29040382563591044,894620
江苏省-无锡市,2.295974787712996,0.035220333864094566,108500
江苏省-苏州市,2.5445313041488338,0.016100724052157518,49600
江苏省-淮安市,2.277726081756088,0.05290516141170629,162980
江苏省-宿迁市,2.387647175544763,0.036557732716814104,112620
江苏省-泰州市,2.251629167387823,0.014490651646941764,44640
江苏省-扬州市,1.8423709931771086,0.005524885551768567,17020
江苏省-镇江市,0,0.0020969894632447087,6460
江苏省-常州市,7.4693126370268565,88.25009793653763,278708600
江苏省-徐州市,2.348356555208858,0.24050021917772824,759540
江苏省-淮安市,2.2864592007555564,0.0549242541782773,173460
江苏省-连云港市,2.2827844391403866,0.07220642754995017,228040
江苏省-南通市,1.7394541964918904,0.01165232649464202,36800
江苏省-盐城市,2.4856613964071155,0.10782201679226903,340520
江苏省-南京市,2.6368204240068085,0.04320226703611297,136440
